,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
1,20-12-2015,1.35,54876.98,674.28,44638.81,58.33,9505.56,9408.07,97.49,0,conventional,2015,Albany
2,13-12-2015,0.93,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,conventional,2015,Albany
3,06-12-2015,1.08,78992.15,1132,71976.41,72.58,5811.16,5677.4,133.76,0,conventional,2015,Albany
5,22-11-2015,NA,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0,conventional,2015,Albany
1,20-12-2015,1.35,54876.98,674.28,44638.81,58.33,9505.56,9408.07,97.49,0,conventional,2015,Albany
2,13-12-2015,1.21,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,organic ,2015,xxxx
3,06-12-2015,1.21,78992.15,1132,71976.41,72.58,5811.16,5677.4,133.76,0,organic ,2015,xxxx
4,29-11-2015,1.21,51039.6,941.48,43838.39,75.78,6183.95,5986.26,197.69,0,organic ,2015,yyyy
5,22-11-2015,1.21,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0,organic ,2015,yyyy
3,06-12-2015,1.08,78992.15,1132,71976.41,72.58,5811.16,5677.4,133.76,0,conventional,2015,Albany
5,22-11-2015,NA,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0,conventional,2015,Albany
3,06-12-2015,1.21,78992.15,1132,71976.41,72.58,5811.16,5677.4,133.76,0,organic ,2015,xxxx
4,29-11-2015,1.21,51039.6,941.48,43838.39,75.78,6183.95,5986.26,197.69,0,organic ,2015,yyyy
1,20-12-2015,1.35,54876.98,674.28,44638.81,58.33,9505.56,9408.07,97.49,0,conventional,2015,Albany
2,13-12-2015,0.93,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,conventional,2015,Albany
